48,232,191
49,232,190
50,231,190
50,231,189
51,230,189
52,230,188
53,230,188
54,229,187
55,229,187
55,228,186
56,228,186
57,228,185
58,227,184
59,227,184
59,226,183
60,226,183
61,226,182
62,225,182
63,225,181
64,224,181
64,224,180
65,224,180
66,223,179
67,223,179
68,222,178
68,222,177
69,222,177
70,221,176
71,221,176
72,220,175
73,220,175
73,220,174
74,219,174
75,219,173
76,218,173
77,218,172
77,218,171
78,217,171
79,217,170
80,216,170
81,216,169
82,216,169
82,215,168
83,215,168
84,214,167
85,214,167
86,214,166
86,213,165
87,213,165
88,212,164
89,212,164
90,212,163
91,211,163
91,211,162
92,210,162
93,210,161
94,210,161
95,209,160
95,209,159
96,208,159
97,208,158
98,208,158
99,207,157
100,207,157
100,206,156
101,206,156
102,205,155
103,205,155
104,205,154
105,204,154
105,204,153
106,203,152
107,203,152
108,203,151
109,202,151
109,202,150
110,201,150
111,201,149
112,201,149
113,200,148
114,200,148
114,199,147
115,199,146
116,199,146
117,198,145
118,198,145
118,197,144
119,197,144
120,197,143
121,196,143
122,196,142
123,195,142
123,195,141
124,195,140
125,194,140
126,194,139
127,193,139
127,193,138
128,193,138
129,192,137
130,192,137
131,191,136
132,191,136
132,191,135
133,190,134
134,190,134
135,189,133
136,189,133
136,189,132
137,188,132
138,188,131
139,187,131
140,187,130
141,187,130
141,186,129
142,186,129
143,185,128
144,185,127
145,185,127
145,184,126
146,184,126
147,183,125
148,183,125
149,183,124
150,182,124
150,182,123
151,181,123
152,181,122
152,181,122
153,181,121
154,180,121
154,180,120
155,179,120
156,179,119
157,179,119
158,178,118
158,178,118
159,177,117
160,177,117
161,177,116
162,176,115
163,176,115
163,175,114
164,175,114
165,175,113
166,174,113
167,174,112
167,173,112
168,173,111
169,173,111
170,172,110
171,172,110
171,171,109
172,171,108
173,171,108
174,170,107
175,170,107
176,169,106
176,169,106
177,169,105
178,168,105
179,168,104
180,167,104
180,167,103
181,167,102
182,166,102
183,166,101
184,165,101
184,165,100
185,165,100
186,164,99
187,164,99
188,163,98
188,163,98
189,163,97
190,162,96
191,162,96
192,161,95
193,161,95
193,161,94
194,160,94
195,160,93
196,159,93
197,159,92
197,159,92
198,158,91
199,158,90
200,157,90
201,157,89
201,157,89
202,156,88
203,156,88
204,155,87
205,155,87
206,154,86
206,154,86
207,154,85
208,153,85
209,153,84
210,152,83
210,152,83
211,152,82
212,151,82
213,151,81
214,150,81
214,150,80
215,150,80
216,149,79
217,149,79
218,148,78
219,148,77
219,148,77
220,147,76
221,147,76
222,146,75
223,146,75
223,146,74
224,145,74
225,145,73
226,144,73
227,144,72
227,144,71
228,143,71
229,143,70
230,142,70
231,142,69
231,142,69
232,141,68
233,141,68
234,140,67
235,140,67
236,140,66
236,139,65
237,139,65
238,138,64
239,138,64
240,138,63
240,137,63
241,137,62
242,136,62
243,136,61
244,136,61
244,135,60
245,135,60
246,134,59
247,134,58
248,134,58
249,133,57
249,133,57
250,132,56
251,132,56
252,132,55
253,131,55
253,131,54
254,130,54
255,130,53
